StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q_DuplicateRespondent,Q1_Role,Q1_Role_11_TEXT,Q2_DecisionAuth,Q3_Industry,Q3_Industry_26_TEXT,Q4_OrgSize,Q5_ProfitModel,Q6_RevenueBudget,Q7_PersonalBudget,Q8_GeoScope,Q9_GeoScale,Q10-28_Barriers_1,Q10-28_Barriers_2,Q10-28_Barriers_3,Q10-28_Barriers_4,Q10-28_Barriers_5,Q10-28_Barriers_6,Q10-28_Barriers_7,Q10-28_Barriers_8,Q10-28_Barriers_9,Q10-28_Barriers_10,Q10-28_Barriers_11,Q10-28_Barriers_12,Q10-28_Barriers_13,Q10-28_Barriers_14,Q10-28_Barriers_15,Q10-28_Barriers_16,Q10-28_Barriers_17,Q10-28_Barriers_18,Q10-28_Barriers_19,Q29-46_Top3Barriers_1,Q29-46_Top3Barriers_2,Q29-46_Top3Barriers_3,Q29-46_Top3Barriers_4,Q29-46_Top3Barriers_5,Q29-46_Top3Barriers_6,Q29-46_Top3Barriers_7,Q29-46_Top3Barriers_8,Q29-46_Top3Barriers_9,Q29-46_Top3Barriers_10,Q29-46_Top3Barriers_11,Q29-46_Top3Barriers_12,Q29-46_Top3Barriers_13,Q29-46_Top3Barriers_14,Q29-46_Top3Barriers_15,Q29-46_Top3Barriers_16,Q29-46_Top3Barriers_17,Q29-46_Top3Barriers_18,Q47-64_Readiness_1,Q47-64_Readiness_2,Q47-64_Readiness_3,Q47-64_Readiness_4,Q47-64_Readiness_5,Q47-64_Readiness_6,Q47-64_Readiness_7,Q47-64_Readiness_8,Q47-64_Readiness_9,Q47-64_Readiness_10,Q47-64_Readiness_11,Q47-64_Readiness_12,Q47-64_Readiness_13,Q47-64_Readiness_14,Q47-64_Readiness_15,Q47-64_Readiness_16,Q47-64_Readiness_17,Q47-64_Readiness_18,Q65-73_Maturity_1,Q65-73_Maturity_2,Q65-73_Maturity_3,Q65-73_Maturity_4,Q65-73_Maturity_5,Q65-73_Maturity_6,Q65-73_Maturity_7,Q65-73_Maturity_8,Q65-73_Maturity_9,Q74_Feedback,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,STUDY_ID,SESSION_ID,SOURCE,COMPLETE_URL,Q50_Feedback - Parent Topics,Q50_Feedback - Topics,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions,Q50_Feedback - Topic Hierarchy Level 1
2026-03-23,2026-03-23,IP Address,100,606,True,2026-03-23,d10c95cad35ab3dd2cee592f66a90d6c,anonymous,,Other (please specify),Dept Chair,I am one of several key decision-makers who collectively decide on technology adoption,Public Education (K-12/Higher Ed),,5000-9999,Government/Public Sector,$500M-$999M,<$10M,United States,Local,Moderate Barrier,Minor Barrier,Not a Barrier,Major Barrier,Significant Barrier,Major Barrier,Major Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Major Barrier,Major Barrier,Not a Barrier,Minor Barrier,Minor Barrier,Not a Barrier,Major Barrier,,,,Insufficient skills or expertise within the workforce to utilize new technologies effectively.,,High cost associated with acquiring or implementing new technologies.,Difficulty integrating new technologies with existing legacy systems.,,,,,,,,,,,,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable,"I don't know of anything specific that wasn't covered- in our organization, the biggest barrier when it comes to adopting anything new is how well it works with all our other existing platforms and user needs. ",complete,,,69c17630acada6abeead2da5,69c1a87e87d19113755351d4,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,571,True,2026-03-23,8c2105bb12c397b3a36a6bcf3324f946,anonymous,,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",,I am the primary decision-maker for technology adoption in my area of responsibility,"Professional, Scientific, and Technical Services",,<100,For-Profit,<$10M,<$10M,United States,Regional,Minor Barrier,Minor Barrier,Not a Barrier,Major Barrier,Minor Barrier,Major Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Major Barrier,Not a Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Major Barrier,,,,Insufficient skills or expertise within the workforce to utilize new technologies effectively.,,,,,,,,,,Concerns about data privacy compliance related to new technologies.,,,,Difficulty finding reliable technology vendors or partners.,Very High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,"I believe this survey worked well to capture insights on organizational maturity. As with all things, we are constantly working to improve our posture and processeses within the space.",complete,,,69c17630acada6abeead2da5,69c1a9f375dca71276115632,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,651,True,2026-03-23,a46c7eceab68a92b93581bd0e06becd4,anonymous,,"CHRO (e.g., Chief Human Capital Officer (CHCO), Director of Human Resources, Personnel Director)",,I am one of several key decision-makers who collectively decide on technology adoption,Educational Services (Private),,500-999,For-Profit,$10M-$49M,<$10M,United States,National,Moderate Barrier,Significant Barrier,Not a Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Not a Barrier,Not a Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Not a Barrier,Moderate Barrier,Not a Barrier,,"Lack of support or clear vision from top leadership (including the board, e.g., governing body, oversight committee).",,,,High cost associated with acquiring or implementing new technologies.,,,,,,,,,,,,Difficulty finding reliable technology vendors or partners.,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,This was pretty thorough. Our biggest obstacles are currently top level execs who cannot commit to ideas. ,complete,,,69c17630acada6abeead2da5,69c1a9facae8b14484c2669f,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,813,True,2026-03-23,4e358499979b8b731de5dd81ed864ac8,anonymous,,"CHRO (e.g., Chief Human Capital Officer (CHCO), Director of Human Resources, Personnel Director)",,I am one of several key decision-makers who collectively decide on technology adoption,Retail Trade,,1000-4999,For-Profit,$50M-$99M,$10M-$49M,United States,Regional,Minor Barrier,Not a Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Major Barrier,,,,,,,Difficulty integrating new technologies with existing legacy systems.,,"Difficulty demonstrating clear value (e.g., mission impact, public value, cost-effectiveness) for new technology investments.",,,,Concerns about cybersecurity risks associated with new technologies.,,,,,,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,"No, it was very comprehensive. The biggest aspects discussed in meetings and gatherings, our cost labor, force, structure, understanding and applicability, and you covered them all.",complete,,,69c17630acada6abeead2da5,69c1a9dd488ae9967add2042,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,568,True,2026-03-23,449ae174ac3e71536352992285994eda,anonymous,,Other (please specify),I work along side CFO & CAO in AVP Role,I am one of several key decision-makers who collectively decide on technology adoption,Finance and Insurance,,100-499,For-Profit,$100M-$499M,<$10M,United States,Regional,Major Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Not a Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Resistance to change among employees or middle management.,,,Insufficient skills or expertise within the workforce to utilize new technologies effectively.,,,Difficulty integrating new technologies with existing legacy systems.,,,,,,,,,,,,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,I think it was covered but over all rapid growth that forces quick change but not well thought out. So quick fixes become long term solutions that are hard to uncouple ,complete,,,69c17630acada6abeead2da5,69c1ab485f96f39a85db42ea,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,436,True,2026-03-23,91e1763dea77c435f9ccd56062721ff3,anonymous,,Other (please specify),"VP, Senior Project Manager",I have limited involvement — I primarily implement technology decisions made by leadership,Other (please specify),Banking,5000-9999,For-Profit,$1B+,<$10M,United States,International,Moderate Barrier,Minor Barrier,Significant Barrier,Major Barrier,Significant Barrier,Major Barrier,Major Barrier,Major Barrier,Minor Barrier,Minor Barrier,Major Barrier,Moderate Barrier,Not a Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,Significant Barrier,Significant Barrier,,,,,,High cost associated with acquiring or implementing new technologies.,,,,,,,,,,,"Pressure to adopt technology due to external factors (e.g., mandates, public expectations, peer agency actions), without adequate internal readiness.",Difficulty finding reliable technology vendors or partners.,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,No all the barriers were clearly defined there is nothing else that I could think to add at all.,complete,,,69c17630acada6abeead2da5,69c1acb72cc0aaec680d105a,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,1209,True,2026-03-23,9d3e522f4c56fbc8beab73bdf4738512,anonymous,,"CIO (e.g., Director of IT)",,I am one of several key decision-makers who collectively decide on technology adoption,Health Care and Social Assistance (Private),,1000-4999,For-Profit,$1B+,$50M-$99M,United States,Local,Minor Barrier,Moderate Barrier,Not a Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Not a Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Not a Barrier,Major Barrier,,,,,,,Difficulty integrating new technologies with existing legacy systems.,,,,,New technologies disrupting existing workflows or processes significantly.,Concerns about cybersecurity risks associated with new technologies.,,,,,,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,I honestly can't think of any other barriers not covered in the previous survey questions.,complete,,,69c17630acada6abeead2da5,69c1aae0c24d884b2372ab49,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,318,True,2026-03-23,785c20fa6a97c8f1c83e1ad51ef8ced5,anonymous,,Other (please specify),Executive Director,I am one of several key decision-makers who collectively decide on technology adoption,Finance and Insurance,,10000+,For-Profit,$1B+,$100M-$499M,United States,International,Major Barrier,Not a Barrier,Significant Barrier,Not a Barrier,Not a Barrier,Moderate Barrier,Major Barrier,Not a Barrier,Minor Barrier,Not a Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Moderate Barrier,Major Barrier,Major Barrier,Minor Barrier,Major Barrier,,,,,,,,,,,,,Concerns about cybersecurity risks associated with new technologies.,Concerns about data privacy compliance related to new technologies.,,,"Pressure to adopt technology due to external factors (e.g., mandates, public expectations, peer agency actions), without adequate internal readiness.",,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,No.,complete,,,69c17630acada6abeead2da5,69c1b27164e06335c766515c,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,618,True,2026-03-23,bcf22a3f385518d5f13d6ef0933d619c,anonymous,,"CRO (e.g., Director of Budget/Finance, Director of Development/Fundraising, Head of Revenue Operations)",,I am one of several key decision-makers who collectively decide on technology adoption,Information,,<100,For-Profit,$50M-$99M,<$10M,United States,International,Significant Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Not a Barrier,Moderate Barrier,Minor Barrier,Not a Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,,"Lack of support or clear vision from top leadership (including the board, e.g., governing body, oversight committee).",,,,High cost associated with acquiring or implementing new technologies.,,,"Difficulty demonstrating clear value (e.g., mission impact, public value, cost-effectiveness) for new technology investments.",,,,,,,,,,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,"I don’t know that this address the rapidly changing landscape, particularly in regards to AI. I think that even the most “prepared” companies are still not quite ready for full AI adoption.  ",complete,,,69c17630acada6abeead2da5,69c1b1831f56fc2acf537a5f,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,1860,True,2026-03-23,0bb6ddac498cd7276b7925c7418560cc,anonymous,,"CTO (e.g., Director of Technology/Innovation, Chief Scientist)",,I am one of several key decision-makers who collectively decide on technology adoption,Finance and Insurance,,500-999,For-Profit,$100M-$499M,<$10M,United States,National,Minor Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Major Barrier,Resistance to change among employees or middle management.,,,,,,,"Inadequate IT infrastructure (e.g., network, storage, computing power) to support new technologies.",,Lack of a clear strategy or roadmap for technology adoption.,,,,,,,,,Moderate Readiness/Capability,Moderate Readiness/Capability,Don't Know,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Don't Know,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,"No, I think you adequately covered them.",complete,,,69c17630acada6abeead2da5,69c1ad21191413ac5ce89ad6,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,1543,True,2026-03-23,2d2e86294922dcc68a7959a7f4bc7de5,anonymous,,"COO (e.g., Deputy Director, Chief of Staff, Assistant Secretary for Administration)",,I have limited involvement — I primarily implement technology decisions made by leadership,Federal Government/Defense,,10000+,Government/Public Sector,$1B+,<$10M,United States,International,Moderate Barrier,Not a Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Major Barrier,Major Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Major Barrier,Major Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Not a Barrier,Major Barrier,,,,,,High cost associated with acquiring or implementing new technologies.,,,,,,,Concerns about cybersecurity risks associated with new technologies.,Concerns about data privacy compliance related to new technologies.,,,,,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,"Besides the financial aspect, high turnover in leadership; every 2-3 years we have a new leader who wants to make their mark and will change a process that sometimes has not been fully implemented yet to something ""better.""",complete,,,69c17630acada6abeead2da5,69c1b0bc10fd7307ebeedbe3,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-24,2026-03-24,IP Address,100,1124,True,2026-03-24,3a124ad853b242abf6b21f70b5b7d1c3,anonymous,true,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",,I am the primary decision-maker for technology adoption in my area of responsibility,Retail Trade,,100-499,For-Profit,<$10M,$10M-$49M,United States,National,Minor Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Major Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Major Barrier,Minor Barrier,Moderate Barrier,Major Barrier,,,,,,High cost associated with acquiring or implementing new technologies.,Difficulty integrating new technologies with existing legacy systems.,,,,,,,Concerns about data privacy compliance related to new technologies.,,,,,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable,no,complete,,,698e9d660ef3a737d4252594,69c2398cf880220540d20bac,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,775,True,2026-03-23,bb5c6afc91c0466d6619e42b2a2e2ac5,anonymous,,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",,I am one of several key decision-makers who collectively decide on technology adoption,Health Care and Social Assistance (Private),,10000+,For-Profit,$500M-$999M,<$10M,International,International,Significant Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Major Barrier,Major Barrier,Significant Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Major Barrier,Resistance to change among employees or middle management.,,,,,,,,,,,New technologies disrupting existing workflows or processes significantly.,,Concerns about data privacy compliance related to new technologies.,,,,,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,"For the most part I think everything has been covered in this survey. For my company in particular, our main hurdle has been getting older employees on board with new processes and technology, as they’re very comfortable and set in their ways. Many of our employees have been with the company for 20+ years. We’re primarily trying to advance our technologies and processes in order to keep up with competitors, so there’s been a learning curve and some resistance. Given the nature of our industry (primarily healthcare), we also have encountered a great deal of push back from employees and customers alike as it relates to cyber security and the handling of PII and other sensitive information. It’s just been a lot of changes all at once, so there’s been some growing pains.",complete,,,69c17630acada6abeead2da5,69c1b88a0716491f66300d0a,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
2026-03-23,2026-03-23,IP Address,100,1069,True,2026-03-23,dc71e193051f4a2aa8fadb076a1e302b,anonymous,,"CISO (e.g., Director of Cybersecurity, Chief Security Officer)",,I am the primary decision-maker for technology adoption in my area of responsibility,"Professional, Scientific, and Technical Services",,1000-4999,For-Profit,$1B+,$10M-$49M,United States,Regional,Moderate Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Not a Barrier,Minor Barrier,Moderate Barrier,Not a Barrier,Minor Barrier,Major Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Minor Barrier,,,,,,,Difficulty integrating new technologies with existing legacy systems.,,,,,,Concerns about cybersecurity risks associated with new technologies.,Concerns about data privacy compliance related to new technologies.,,,,,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable,"N/A ..
I'm my professional opinion, this study was very good and clear in outlining most, if not all of the potential barriers regarding tech adoption.
I appreciate the opportunity for involvement. ",complete,,,69c17630acada6abeead2da5,69c1badfd1453c19cb9cbcfb,prolific,https://app.prolific.com/submissions/complete?cc=CQ9PVTWX,,Unknown,0,,0,,0,,
